Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus.1,04/03/2019,6000,8000,7000
Uttar Pradesh,Agra,Samsabad,Gur(Jaggery),Pathari,04/03/2019,4900.0,5100.0,5000.0
Telangana,Hyderabad,Mahboob Manison,Dry Chillies,1st Sort,04/03/2019,6000.0,8500.0,7000.0
Punjab,Mansa,Mansa,Bhindi(Ladies Finger),Bhindi,04/03/2019,3000.0,4000.0,3500.0
Kerala,Kottayam,Ettumanoor,Cabbage,Other,04/03/2019,2000.0,2200.0,2100.0
Uttar Pradesh,Agra,Khairagarh,Mustard,Sarson(Black),04/03/2019,3300.0,3500.0,3400.0
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Cucumbar(Kheera),Cucumbar,04/03/2019,1500.0,1700.0,1600.0
Punjab,Muktsar,Malout,Spinach,Spinach,04/03/2019,500.0,800.0,600.0
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,04/03/2019,1200.0,1500.0,1350.0
Rajasthan,Jalore,Jalore,Lemon,Other,04/03/2019,2300.0,2500.0,2400.0
Gujarat,Kachchh,Bachau,Guar Seed(Cluster Beans Seed),Whole,04/03/2019,4000.0,4025.0,4010.0
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Mustard Oil,Mustard Oil,04/03/2019,8900.0,9090.0,9000.0
Kerala,Kasargod,Manjeswaram,Little gourd (Kundru),Other,04/03/2019,4200.0,5000.0,4600.0
Kerala,Kollam,Anchal,Banana,Red Banana,04/03/2019,4700.0,4900.0,4800.0
Gujarat,Vadodara(Baroda),Padra,Sweet Potato,Other,04/03/2019,1500.0,2000.0,1700.0
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),G. R. 11,04/03/2019,1500.0,1550.0,1525.0
Uttar Pradesh,Aligarh,Atrauli,Maize,Hybrid,04/03/2019,1930.0,1950.0,1940.0
Odisha,Mayurbhanja,Betnoti,Leafy Vegetable,Other,04/03/2019,1400.0,1600.0,1500.0
Tamil Nadu,Coimbatore,Annur,Tobacco,Other,04/03/2019,3000.0,3200.0,3100.0
Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Gopiganj,Potato,Potato,04/03/2019,350.0,400.0,400.0
Maharashtra,Pune,Pune,Cucumbar(Kheera),Other,04/03/2019,1000.0,3000.0,2000.0
Tamil Nadu,Coimbatore,Palladam,Coconut,Other,04/03/2019,2040.0,2240.0,2140.0
West Bengal,Burdwan,Burdwan,Sweet Pumpkin,Sweet Pumpkin,04/03/2019,950.0,1050.0,1000.0
Manipur,Bishnupur,Bishenpur,Paddy(Dhan)(Common),Other,04/03/2019,2250.0,2250.0,2250.0
Uttar Pradesh,Saharanpur,Sultanpurchilkana,Carrot,Carrot,04/03/2019,400.0,500.0,450.0
Kerala,Thirssur,Kodungalloor,Tomato,Other,04/03/2019,1600.0,1600.0,1600.0
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,04/03/2019,800.0,1000.0,900.0
Uttar Pradesh,Agra,Samsabad,Barley (Jau),Dara,04/03/2019,1825.0,1875.0,1850.0
Punjab,Muktsar,Malout,Green Chilli,Green Chilly,04/03/2019,800.0,3500.0,2000.0
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Gur(Jaggery),Yellow,04/03/2019,2400.0,2600.0,2510.0
Punjab,Hoshiarpur,Dasuya,Kinnow,Other,04/03/2019,1600.0,2000.0,2000.0
Rajasthan,Jalore,Jalore,Pomegranate,Other,04/03/2019,1400.0,1600.0,1500.0
Uttar Pradesh,Baghpat,Bagpat,Carrot,Carrot,04/03/2019,400.0,600.0,500.0
West Bengal,Bankura,Bishnupur(Bankura),Rice,Fine,04/03/2019,2800.0,2900.0,2850.0
Kerala,Alappuzha,Mannar,Carrot,Other,04/03/2019,3700.0,3900.0,3800.0
Odisha,Sundergarh,Bonai,Potato,Other,04/03/2019,1000.0,1000.0,1000.0
Tamil Nadu,Villupuram,Manalurpet,Ragi (Finger Millet),Other,04/03/2019,2312.0,2312.0,2312.0
Uttar Pradesh,Bahraich,Ruperdeeha,Grapes,Green,04/03/2019,4480.0,4540.0,4500.0
Maharashtra,Satara,Karad,Cabbage,Other,04/03/2019,500.0,1000.0,1000.0
Tamil Nadu,Cuddalore,Cuddalore,Paddy(Dhan)(Common),B P T,04/03/2019,1344.0,1555.0,1500.0
Kerala,Kottayam,Ettumanoor,Onion,Big,04/03/2019,3300.0,3500.0,3500.0
West Bengal,Medinipur(W),Ghatal,"Sesamum(Sesame,Gingelly,Til)",Red,04/03/2019,8500.0,8700.0,8600.0
Rajasthan,Jalore,Jalore,Bottle gourd,Other,04/03/2019,1000.0,1200.0,1100.0
Uttar Pradesh,Baghpat,Baraut,Raddish,Raddish,04/03/2019,400.0,600.0,500.0
Maharashtra,Buldhana,Deoulgaon Raja,Cotton,Desi,04/03/2019,5100.0,5400.0,5300.0
Kerala,Thirssur,Chelakkara,Elephant Yam (Suran),Other,04/03/2019,2500.0,2800.0,2600.0
Tamil Nadu,Salem,Salem,Turmeric,Finger,04/03/2019,6940.0,7395.0,7120.0
Odisha,Ganjam,Digapahandi,Maize,Other,04/03/2019,1300.0,1420.0,1350.0
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,04/03/2019,400.0,1000.0,750.0
Uttar Pradesh,Agra,Achnera,Barley (Jau),Dara,04/03/2019,1800.0,1860.0,1830.0
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Green Chilli,Green Chilly,04/03/2019,2230.0,2300.0,2260.0
Haryana,Gurgaon,Pataudi,Spinach,Other,04/03/2019,500.0,1000.0,750.0
Kerala,Malappuram,Kondotty,Tomato,Other,04/03/2019,1000.0,1200.0,1100.0
Odisha,Balasore,Jaleswar,Onion,Other,04/03/2019,1000.0,1150.0,1100.0
Tamil Nadu,Villupuram,Vikkiravandi,Hybrid Cumbu,Other,04/03/2019,1800.0,1853.0,1825.0
Kerala,Malappuram,Kondotty,Cowpea(Veg),Other,04/03/2019,3000.0,3200.0,3100.0
Kerala,Malappuram,Kondotty,Lemon,Other,04/03/2019,4000.0,4200.0,4100.0
Punjab,Tarntaran,Patti,Spinach,Other,04/03/2019,300.0,430.0,400.0
Uttar Pradesh,Saharanpur,Nanuta,Green Chilli,Green Chilly,04/03/2019,1200.0,1300.0,1250.0
Manipur,Imphal East,Lamlong Bazaar,Onion,Other,04/03/2019,1300.0,2500.0,2500.0
Tripura,North Tripura,Dasda,Rice,Masuri,04/03/2019,2500.0,2700.0,2600.0
Rajasthan,Kota,Itawa,Wheat,Other,04/03/2019,1915.0,1915.0,1915.0
Uttar Pradesh,Sonbhadra,Robertsganj,Garlic,Garlic,04/03/2019,1750.0,1840.0,1810.0
Odisha,Dhenkanal,Hindol,Brinjal,Brinjal,04/03/2019,800.0,1200.0,1000.0
Uttar Pradesh,Bulandshahar,Divai,Pumpkin,Pumpkin,04/03/2019,680.0,700.0,690.0
Meghalaya,East Khasi Hills,Shillong,Ginger(Dry),Dry,04/03/2019,6000.0,7000.0,6500.0
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Cauliflower,Local,04/03/2019,450.0,500.0,480.0
Madhya Pradesh,Dindori,Gorakhpur,Paddy(Dhan)(Common),Other,04/03/2019,1300.0,1350.0,1325.0
Haryana,Mewat,Taura,Potato,Potato,04/03/2019,700.0,700.0,700.0
Manipur,Bishnupur,Bishenpur,Cabbage,Cabbage,04/03/2019,1100.0,1300.0,1300.0
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Pumpkin,Pumpkin,04/03/2019,750.0,830.0,800.0
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Mustard,Lohi Black,04/03/2019,3300.0,3450.0,3400.0
Maharashtra,Satara,Karad,Carrot,Other,04/03/2019,500.0,1000.0,1000.0
Uttar Pradesh,Saharanpur,Gangoh,Tomato,Deshi,04/03/2019,1325.0,1350.0,1340.0
Kerala,Kasargod,Manjeswaram,Bottle gourd,Bottle Gourd,04/03/2019,1600.0,2000.0,1800.0
Uttar Pradesh,Muzaffarnagar,Thanabhawan,Cauliflower,Local,04/03/2019,300.0,400.0,340.0
Uttar Pradesh,Agra,Jarar,Green Chilli,Green Chilly,04/03/2019,1040.0,1120.0,1080.0
Himachal Pradesh,Kangra,Kangra(Jassour),Methi(Leaves),Other,04/03/2019,900.0,1000.0,950.0
Maharashtra,Satara,Karad,Spinach,Other,04/03/2019,1.0,2.0,2.0
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),Methi,04/03/2019,600.0,1000.0,825.0
Kerala,Thiruvananthapuram,Maranelloor,Banana,Poovan,04/03/2019,2900.0,3200.0,3000.0
Tamil Nadu,Villupuram,Villupuram,Black Gram (Urd Beans)(Whole),Other,04/03/2019,2559.0,2639.0,2619.0
West Bengal,Puruliya,Balarampur,Tomato,Other,04/03/2019,250.0,350.0,300.0
Kerala,Thiruvananthapuram,Parassala,Snakeguard,Snakeguard,04/03/2019,2600.0,3000.0,2600.0
Kerala,Thirssur,Irinjalakkuda,Bitter gourd,Other,04/03/2019,4000.0,4000.0,4000.0
Uttar Pradesh,Ghaziabad,Hapur,Wheat,Dara,04/03/2019,1900.0,2100.0,1980.0
Punjab,Jalandhar,Mehatpur,Spinach,Other,04/03/2019,400.0,600.0,600.0
Himachal Pradesh,Kangra,Kangra(Jassour),Pomegranate,Other,04/03/2019,4000.0,4500.0,4250.0
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,04/03/2019,1200.0,1400.0,1300.0
Punjab,Muktsar,Malout,Peas cod,Other,04/03/2019,1000.0,1500.0,1200.0
Kerala,Thiruvananthapuram,Parassala,Bitter gourd,Bitter Gourd,04/03/2019,5000.0,5500.0,5000.0
Rajasthan,Jalore,Jalore,Bhindi(Ladies Finger),Other,04/03/2019,3800.0,4000.0,3900.0
Kerala,Thirssur,Irinjalakkuda,Elephant Yam (Suran),Other,04/03/2019,2400.0,2400.0,2400.0
Uttar Pradesh,Agra,Fatehabad,Barley (Jau),Dara,04/03/2019,1700.0,1750.0,1720.0
Kerala,Alappuzha,Chengannur,Ashgourd,Other,04/03/2019,1100.0,1400.0,1200.0
Tamil Nadu,Villupuram,Tindivanam,Groundnut,Other,04/03/2019,6236.0,7387.0,6724.0
Kerala,Malappuram,Kondotty,Potato,Other,04/03/2019,2000.0,2200.0,2100.0
Uttar Pradesh,Baghpat,Bagpat,Tomato,Deshi,04/03/2019,1100.0,1300.0,1200.0
Tripura,South District,Barpathari,Potato,Jalander,04/03/2019,700.0,800.0,750.0
West Bengal,Puruliya,Purulia,Moath Dal,Moath Dal,04/03/2019,7300.0,7400.0,7400.0
Maharashtra,Kolhapur,Kolhapur,Brinjal,Other,04/03/2019,600.0,3000.0,1800.0
Punjab,Ludhiana,Sahnewal,Methi(Leaves),Methi,04/03/2019,1000.0,1000.0,1000.0
Punjab,Muktsar,Malout,Guava,Guava,04/03/2019,2000.0,2500.0,2200.0
Tamil Nadu,Erode,Dharapuram,Coconut,Big,04/03/2019,2505.0,3275.0,3000.0
Maharashtra,Nagpur,Savner,Wheat,Other,04/03/2019,1935.0,2040.0,2000.0
Punjab,Jalandhar,Adampur,Amphophalus,Other,04/03/2019,1800.0,2000.0,2000.0
Uttar Pradesh,Lakhimpur,Paliakala,Bottle gourd,Bottle Gourd,04/03/2019,1020.0,1080.0,1050.0
Uttar Pradesh,Muzaffarnagar,Thanabhawan,Brinjal,Brinjal,04/03/2019,400.0,500.0,440.0
West Bengal,Nadia,Nadia,Mustard,Yellow (Black),04/03/2019,4000.0,4150.0,4100.0
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,04/03/2019,2600.0,3300.0,3000.0
Haryana,Ambala,Shahzadpur,Ber(Zizyphus/Borehannu),Ber(Zizyphus),04/03/2019,2000.0,4000.0,3000.0
Uttar Pradesh,Agra,Fatehabad,Onion,Red,04/03/2019,850.0,1000.0,900.0
Tamil Nadu,Namakkal,Namagiripettai,Turmeric,Bulb,04/03/2019,5050.0,6050.0,5740.0
EOF
